activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037401101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,1,2,1,1,2,2,2,475000,90.98,3.75,-0.496,2,12764,NA,1070,NA,,360,NA,NA,2,2,2,2,515000,1,1,3,5,1,NA,7,50%-60%,1,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,5568,38.11,73100,109,910,1391,50
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037551900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,9,2,1,32,1,2,2,2,265000,60.23,6,2.737,2,15713.75,NA,11783.75,NA,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,5,42,3,10,3,,,,,4,,,,,2,3,6,,,,,6,,,,,2,3,3,4,2,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,5449,88.27,73100,96,916,1248,58
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059011716,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Joint,1,3,2,1,31,1,2,2,2,645000,68.82,4.25,-0.041,2,3916.3,NA,2090,NA,,360,NA,NA,2,2,2,2,935000,1,1,3,5,1,NA,20,30%-<36%,3,3,3,,,,,3,,,,,2,2,2,27,,,,2,27,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,5539,67.5,97900,131,1446,1479,24
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037300301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,1,1,1,1,2,2,2,535000,61.67,4.5,0.263,2,6520.5,NA,2090,NA,,360,NA,NA,2,2,2,2,865000,1,1,3,5,1,NA,10,36,3,10,2,,,,,4,,,,,1,3,2,25,,,,6,,,,,2,3,2,4,1,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,6543,36.31,73100,162,1726,2077,60
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037218120,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,1,1,1,1,1,2,2,2,725000,80,4.75,0.512,2,10276.16,NA,5502.5,NA,,360,NA,NA,2,2,2,2,925000,1,1,3,5,1,NA,14,37,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,1,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,5124,97.19,73100,57,266,973,74
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037216300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,32,1,2,2,2,485000,70.2,5.875,1.882,2,8440.51,NA,6228.06,4238.06,,360,NA,NA,2,2,2,2,695000,1,1,3,5,1,NA,7,49,3,10,3,,,,,4,,,,,3,3,6,,,,,6,,,,,3,3,3,4,3,3,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,5053,36.99,73100,234,803,1542,75
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065043820,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,9,2,1,32,1,2,2,2,225000,70,5.875,1.589,2,7163,NA,4530,NA,,360,NA,84,2,2,2,2,325000,1,1,3,5,1,NA,4,48,3,10,3,,,,,4,,,,,3,3,2,27,,,,6,,,,,3,3,1,4,3,3,35-44,9999,No,NA,1,1,6,,,,,10,,,,4482,65.75,69700,119,1357,1708,0
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037570501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,1,2,1,1,2,2,2,515000,96.5,4.625,0.744,2,15448.33,NA,3040,NA,,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,12,36,3,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,6937,85.28,73100,105,1335,1940,70
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071000208,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,385000,96.5,3.875,-0.163,2,11967.9,NA,1865,NA,,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,7,50%-60%,2,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,1,3,<25,9999,No,NA,1,1,3,,,,,10,,,,5053,79.66,69700,93,985,1218,57
2019,5493001K7B4W8IPMZ254,41884,CA,6075,6075030102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,9,1,1,1,1,2,2,2,645000,49.61,4.875,0.605,2,20923,NA,15090,NA,,360,NA,84,2,2,2,2,1295000,1,1,3,5,1,NA,15,41,2,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,2,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,5095,35.64,133800,137,1046,1449,52
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059001707,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Joint,1,2,2,2,32,1,2,2,2,705000,82.98,4.625,0.745,2,17454,NA,2290,NA,,360,NA,NA,2,2,2,2,845000,1,1,3,5,1,NA,12,45,1,1,3,,,,,3,,,,,3,3,2,27,,,,2,27,,,,3,3,1,2,3,3,45-54,45-54,No,No,1,1,3,,,,,10,,,,7601,82.44,97900,127,1807,2283,29
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037211500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,9,1,1,1,1,2,2,2,555000,NA,5.375,0.186,2,13398,NA,6415,NA,,360,NA,84,2,2,2,2,745000,1,1,3,5,1,NA,0,NA,1,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,6,,,,,10,,,,4694,69.37,73100,108,602,841,76
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037119800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,1,1,1,1,2,2,2,525000,90,4.875,0.986,2,16920.82,NA,12730,NA,,360,NA,NA,2,2,2,2,585000,1,1,3,5,1,NA,12,37,3,10,1,14,,,,4,,,,,3,3,5,,,,,6,,,,,3,3,1,4,3,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,6479,93.52,73100,116,1016,1379,58
2019,5493001K7B4W8IPMZ254,40900,CA,6067,6067008705,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,32,1,2,2,2,365000,75,4.125,0.164,2,3639,NA,1720,NA,,360,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,5,48,2,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,1,,,,,10,,,,6281,58.03,84000,151,1573,1899,9
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071009905,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,235000,96.5,4,0.186,2,8958.28,NA,2065,NA,,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,9,30%-<36%,3,10,1,14,,,,4,,,,,3,3,5,,,,,6,,,,,3,3,1,4,3,3,<25,9999,No,NA,1,1,3,,,,,10,,,,8346,82.12,69700,51,1083,2200,22
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059001704,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,1,2,1,32,1,2,2,2,545000,64.66,4.5,0.597,2,12672.39,NA,7580,NA,,360,NA,NA,2,2,2,2,685000,1,2,3,5,1,NA,17,20%-<30%,1,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,1,,,,,10,,,,7658,80.2,97900,130,1740,2161,13
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037920114,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,1,1,1,1,1,2,2,2,395000,70.65,4.25,0.312,2,10156.16,NA,5990,NA,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,6,48,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,1,,,,,10,,,,6814,50.94,73100,170,1020,1281,14
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037482301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,1,2,2,2,31,1,2,2,2,605000,80.04,4.5,0.471,2,6570.7,NA,1170,NA,,360,NA,NA,2,2,2,2,745000,1,1,3,5,1,NA,0,NA,1,1,1,11,,,,1,11,,,,2,2,6,,,,,6,,,,,2,2,1,2,1,1,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,5254,86.75,73100,66,493,1354,57
2019,5493001K7B4W8IPMZ254,40900,CA,6061,6061021122,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Asian,Joint,1,1,1,1,1,1,2,2,2,405000,90,4.5,0.371,2,4204,NA,1720,NA,,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,7,40,2,2,2,,,,,1,14,,,,2,3,2,27,,,,6,,,,,2,3,1,2,2,3,35-44,35-44,No,No,1,1,1,,,,,10,,,,3467,20.91,84000,172,1249,1336,15
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037910805,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,32,1,2,2,2,595000,82.11,4.125,0.357,2,27081.5,NA,13840,NA,,360,NA,NA,2,2,2,2,715000,1,1,3,5,1,NA,12,49,1,1,1,14,,,,1,14,,,,3,3,5,,,,,5,,,,,3,3,1,2,3,3,45-54,55-64,No,No,1,1,3,,,,,10,,,,4818,32.11,73100,155,1278,1702,27
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071007901,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,9,1,1,1,1,2,2,2,355000,80,5.75,1.948,2,13583,NA,5850,NA,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,6,50%-60%,1,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,1,3,35-44,9999,No,NA,1,1,6,,,,,10,,,,8126,46.07,69700,206,2297,2576,21
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037120105,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,1,2,1,31,1,2,2,2,435000,79.71,4.875,0.967,2,13437,NA,11010,NA,,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,6,48,2,2,1,14,,,,1,14,,,,3,3,5,,,,,5,,,,,3,3,1,2,3,3,35-44,25-34,No,No,1,1,1,,,,,10,,,,2912,92.99,73100,59,302,494,49
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037552601,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,1,2,1,2,1,1,2,2,2,365000,96.5,4,0.119,2,12716.18,NA,2765,NA,,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,8,50%-60%,2,2,3,,,,,3,,,,,2,3,5,,,,,5,,,,,2,3,1,2,2,3,25-34,25-34,No,No,1,1,3,,,,,10,,,,5465,95.3,73100,92,988,1202,60
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037106111,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,9,1,1,1,1,2,2,2,535000,70,5.875,1.882,2,12428,NA,6845,NA,,360,NA,NA,2,2,2,2,765000,1,1,3,5,1,NA,21,20%-<30%,3,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,1,3,55-64,9999,No,NA,1,1,6,,,,,10,,,,4816,78.01,73100,109,1205,1389,38
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037199000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,1,2,1,31,1,2,2,2,355000,80,4.125,-0.021,2,4187,NA,2090,NA,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,9,39,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,1,,,,,10,,,,5538,94.94,73100,56,470,811,41
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059021807,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,31,1,2,2,2,565000,80,4.5,0.414,2,3499,NA,1720,NA,,360,NA,NA,2,2,2,2,705000,1,1,3,5,1,NA,12,43,2,2,2,,,,,2,,,,,2,3,5,,,,,5,,,,,2,3,1,2,2,3,35-44,25-34,No,No,1,1,1,,,,,10,,,,3930,39.21,97900,101,1080,1252,38
2019,5493001K7B4W8IPMZ254,40900,CA,6067,6067009324,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,315000,33.7,3.5,0.129,2,6014,NA,4820,NA,,180,NA,NA,2,2,2,2,925000,1,1,3,5,1,NA,11,37,1,10,2,,,,,4,,,,,3,3,2,27,,,,6,,,,,3,3,1,4,3,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,2923,41.4,84000,214,740,879,25
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037212620,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,9,1,1,1,1,2,2,2,685000,80,6.125,2.302,2,15303,NA,9170,NA,,360,NA,NA,2,2,2,2,865000,1,1,3,5,1,NA,12,44,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,1,3,55-64,9999,No,NA,1,1,6,,,,,10,,,,4609,96.75,73100,57,98,257,57
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065043823,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,2,2,2,31,1,2,2,2,335000,92.07,4.125,0.088,2,3667.69,NA,375,NA,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,0,NA,3,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,2,3,35-44,9999,No,NA,1,1,1,,,,,10,,,,9490,55.5,69700,175,2216,2638,0
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037221120,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Female,1,9,2,1,31,1,2,2,2,445000,79.64,5.875,1.978,2,14458,NA,9025,NA,,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,10,45,1,10,3,,,,,4,,,,,3,3,2,27,,,,6,,,,,3,3,2,4,3,3,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,3075,98.86,73100,53,99,521,74
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037920108,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,1,9,1,1,1,1,2,2,2,405000,72.73,5.375,1.108,2,12123,NA,6290,NA,,360,NA,84,2,2,2,2,555000,1,1,3,5,1,NA,9,47,1,10,3,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,6,,,,,10,,,,4444,50.54,73100,198,1150,1378,9
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059110001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,1,1,1,1,2,2,2,305000,45.86,4.125,0.183,2,7588.2,NA,3615,NA,,360,NA,NA,2,2,2,2,665000,1,1,3,5,1,NA,6,40,1,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,2,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,4513,32.82,97900,100,1022,1539,50
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065048300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,2,2,2,32,1,2,2,2,315000,85,4.375,0.442,2,10225,NA,2315,NA,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,9,50%-60%,1,1,3,,,,,3,,,,,3,3,6,,,,,6,,,,,3,3,1,2,3,3,35-44,45-54,No,No,1,1,3,,,,,10,,,,6776,85.8,69700,84,1252,1806,16
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037232300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,465000,96.5,5,1.219,2,23299.13,NA,11361,NA,,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,9,45,3,10,1,14,,,,4,,,,,3,3,5,,,,,6,,,,,3,3,1,4,3,3,55-64,9999,No,NA,1,1,3,,,,,10,,,,4198,98.19,73100,62,659,1102,76
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059052420,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,9,1,1,1,1,2,2,2,585000,70,5.625,1.314,2,16923,NA,9640,NA,,360,NA,84,2,2,2,2,845000,1,1,3,5,1,NA,10,41,2,10,3,,,,,3,,,,,2,3,6,,,,,6,,,,,2,3,1,4,1,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,22185,70.88,97900,166,4882,5986,13
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037543801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,2,2,2,32,1,2,2,2,465000,80.18,4.375,0.534,2,20211.3,NA,9585,NA,,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,8,44,1,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,2,4,2,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,5605,87.74,73100,116,1133,1471,47
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065031002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,2,1,2,1,1,2,2,2,295000,96.5,4.25,0.358,2,10845.19,NA,2315,NA,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,4,48,2,10,3,,,,,4,,,,,3,3,6,,,,,6,,,,,3,3,1,4,3,3,25-34,9999,No,NA,1,1,3,,,,,10,,,,4777,83.46,69700,69,714,1090,57
